Day of Date,EW,Nouveaux Cas
"October 1, 2016","EW 39, 2016",14
"October 8, 2016","EW 40, 2016",14
"October 7, 2016","EW 40, 2016",16
"October 6, 2016","EW 40, 2016",14
"October 5, 2016","EW 40, 2016",18
"October 4, 2016","EW 40, 2016",7
"October 3, 2016","EW 40, 2016",13
"October 2, 2016","EW 40, 2016",15
"October 15, 2016","EW 41, 2016",12
"October 14, 2016","EW 41, 2016",18
"October 13, 2016","EW 41, 2016",13
"October 12, 2016","EW 41, 2016",15
"October 11, 2016","EW 41, 2016",19
"October 10, 2016","EW 41, 2016",17
"October 9, 2016","EW 41, 2016",11
"October 19, 2016","EW 42, 2016",18
"October 18, 2016","EW 42, 2016",15
"October 17, 2016","EW 42, 2016",21
"October 16, 2016","EW 42, 2016",13
